NSS_elfo,Codigo_tarea
621-70-4146,2
228-66-1149,5
634-43-5574,2
530-07-9948,4
697-26-0480,6
133-46-3326,3
797-94-7639,5
875-56-1945,4
289-61-6935,7
456-06-3527,5
258-16-0592,2
673-86-6024,6
764-60-1652,1
874-96-5035,5
676-41-6549,6
741-42-1555,7
204-09-1949,6
769-16-5158,1
764-60-1652,6
499-19-0908,2
204-09-1949,1
741-42-1555,5
649-94-2558,4
670-59-3319,3
229-58-5624,5
812-71-4110,5
818-03-8049,3
610-38-9194,7
377-97-5505,1
462-92-3235,4
322-04-2202,4
585-46-3884,5
388-45-4886,7
586-80-6118,2
462-92-3235,4
565-69-1632,6
856-55-4799,3
813-29-1232,7
280-86-7171,2
670-59-3319,6
665-90-8025,7
100-28-5320,3
280-86-7171,6
499-19-0908,3
378-39-9560,2
862-34-0761,6
378-39-9560,4
787-57-3055,4
621-70-4146,2
840-46-6107,7
280-86-7171,7
642-72-0887,7
787-57-3055,2
322-04-2202,1
366-15-5243,4
521-06-3898,5
156-45-3195,3
229-58-5624,1
812-71-4110,3
521-06-3898,6
303-22-2670,5
642-72-0887,1
874-96-5035,7
605-64-6641,2
270-51-4474,7
605-64-6641,3
565-69-1632,6
402-38-3933,5
753-51-4926,7
456-06-3527,5
673-86-6024,4
493-26-7243,3
608-81-5970,6
289-61-6935,6
890-61-0365,5
874-96-5035,1
875-56-1945,4
805-80-2174,4
303-22-2670,7
366-15-5243,6
510-59-8342,7
530-07-9948,2
586-80-6118,1
416-03-7287,3
510-59-8342,5
608-81-5970,7
608-81-5970,2
442-99-1771,4
547-77-5003,4
610-38-9194,5
764-12-4773,3
854-37-0425,1
860-55-6759,5
633-53-1070,6
670-59-3319,6
380-76-3686,5
487-59-2456,3
860-55-6759,5
887-72-4409,5
862-34-0761,6
697-26-0480,2
209-63-3629,4
209-29-0219,6
235-84-7048,5
667-27-4987,1
174-85-8992,6
705-67-3178,5
100-28-5320,5
856-55-4799,1
764-12-4773,4
753-51-4926,4
785-28-2150,4
280-86-7171,7
575-24-8902,7
450-83-5758,1
642-72-0887,1
628-68-2581,3
628-68-2581,1
670-59-3319,6
610-38-9194,7
103-21-3591,6
487-59-2456,7
605-64-6641,1
805-80-2174,5
588-15-3062,5
887-72-4409,6
147-59-6882,7
673-86-6024,1
610-38-9194,3
100-28-5320,6
856-55-4799,7
229-58-5624,6
608-81-5970,5
865-49-4780,2
596-81-5370,5
741-42-1555,3
753-51-4926,7
402-38-3933,6
440-93-8657,2
787-57-3055,3
381-62-1080,2
462-92-3235,6
605-64-6641,5
487-59-2456,7
521-06-3898,4
812-71-4110,7
229-58-5624,1
174-85-8992,1
673-86-6024,1
843-69-2139,3
865-49-4780,5
229-58-5624,6
642-72-0887,7
381-62-1080,1
812-71-4110,1
672-49-6646,2
204-09-1949,2
665-90-8025,5
670-59-3319,7
605-64-6641,1
856-55-4799,7
380-76-3686,6
228-66-1149,7
462-92-3235,3
147-91-6801,2
440-93-8657,4
103-21-3591,6
575-24-8902,3
797-94-7639,6
378-14-3503,6
575-24-8902,7
575-11-2428,4
204-09-1949,4
875-56-1945,5
764-12-4773,4
697-26-0480,3
875-56-1945,7
487-59-2456,5
860-55-6759,4
270-51-4474,1
875-56-1945,6
174-85-8992,1
235-84-7048,7
174-85-8992,6
585-46-3884,7
258-16-0592,2
416-03-7287,6
575-11-2428,3
674-84-9845,7
487-59-2456,2
516-84-6355,3
103-21-3591,5
633-53-1070,7
610-38-9194,1
103-21-3591,5
456-06-3527,3
510-59-8342,2
521-06-3898,3
787-57-3055,4
676-41-6549,6
