Nombre,Apellido,Coordenadas,Fecha_nacimiento,NSS_elfo
Dulci,Camacho,41.01.-85.06,2004-06-09,156-45-3195
Cassius,Bjerkan,37.7466201.23.9055737,2018-05-10,388-45-4886
Lenore,Valens-Smith,-3.3939043.120.3608455,2014-04-27,889-85-8026
Mace,Basler,-3.3186067.114.5943784,2013-03-01,657-74-7582
Hamish,Lamburne,4.625907.-75.761865,2011-06-21,255-45-8489
Madelyn,Mucci,56.0518037.92.9241062,2019-11-30,605-87-6782
Geoffry,Varnals,27.318852.115.444319,2020-06-18,787-57-3055
Olenka,Louys,-10.1573402.123.6010244,2013-07-30,208-99-5785
Quent,Lehrle,26.99.8333333,2007-08-11,887-72-4409
Nikaniki,Sills,40.1598524.116.8212507,2011-08-19,369-05-6941
Analise,Rape,40.401045.117.998902,2007-06-22,203-20-6236
Friederike,Boumphrey,-3.3939043.120.3608455,2021-03-21,566-27-5715
Judye,Streeter,35.2487361.36.5715924,2021-08-31,764-12-4773
Alex,Eaken,-22.2454935.-50.7031569,2012-07-31,684-95-4985
Sherie,Dalloway,50.772008.22.956207,2009-08-28,797-94-7639
Donn,Fedorski,13.4956.123.289,2008-05-07,357-76-4091
Elli,Tabner,-17.3013059.31.3198491,2010-06-01,155-88-6490
Ambros,Routham,-7.2763.108.3561,2007-10-13,672-49-6646
Graig,Tezure,-1.8053216.138.4687311,2010-07-27,729-81-9612
Cammie,Shankster,-8.0914709.112.718192,2015-09-17,670-59-3319
Jeanne,Wildor,35.2487361.36.5715924,2016-02-07,328-19-8133
Devon,Sworn,47.3362701.-1.5349069,2010-03-16,860-55-6759
Isabelle,Coton,52.4585616.20.1010662,2015-12-11,856-31-4076
Glynda,Miskimmon,55.8876933.48.3613188,2009-10-13,147-91-6801
Kari,Rany,32.399108.119.443303,2009-09-11,366-15-5243
Artemis,Nesey,56.907241.24.0317249,2011-04-18,633-53-1070
Angy,Kopmann,-7.811056.108.438797,2004-04-22,450-83-5758
Ive,Jermyn,42.6.25.55,2012-11-04,416-67-2388
Jaquith,Franceschelli,33.378118.120.431234,2005-03-12,775-38-4710
Fiorenze,Skeggs,45.1099868.20.7477906,2021-04-05,875-56-1945
Guillermo,Greenrodd,29.763892.121.513271,2013-04-16,665-90-8025
Patrica,Coorington,47.0184615.-68.1430761,2012-02-27,456-06-3527
Clo,Statham,37.7466201.23.9055737,2011-11-13,228-66-1149
Jonas,Tanswell,10.385548.125.213831,2013-07-14,361-93-0568
Robyn,Huttley,56.0518037.92.9241062,2015-07-12,369-05-6941
Birgit,Smooth,5.98111.121.21472,2012-12-30,610-92-0847
Tasha,Quare,4.8413815.-72.9899505,2012-02-07,785-28-2150
Huntlee,Measham,43.4539508.42.0911606,2014-03-02,283-70-1704
Dru,Knight,28.322781.-81.3912772,2014-04-08,164-58-1433
Herbie,Osburn,14.6031411.121.0959448,2016-02-03,328-19-8133
Hyacinth,Didsbury,51.6403247.21.7444457,2016-01-12,235-84-5892
Pancho,Kivits,23.7221111.-15.9347384,2007-03-21,112-06-9661
Ulrike,Mannix,-7.2763.108.3561,2016-10-10,803-91-6287
Logan,Bamell,25.410654.107.88645,2016-07-22,610-92-0847
Georgina,Warmisham,15.9898714.119.8798268,2011-10-03,229-58-5624
Natale,Sawl,-7.2763.108.3561,2021-08-18,483-03-8389
Bee,Carden,-7.3175297.-63.9586111,2007-07-23,732-43-4335
Gordon,Brownsword,-7.811056.108.438797,2012-03-18,744-18-4380
Duff,Caveill,-7.811056.108.438797,2009-03-27,875-56-1945
Kathryne,Drever,-32.9413658.-60.652833,2014-11-10,251-72-6324
Marketa,Baglan,51.6403247.21.7444457,2004-09-04,741-42-1555
Marylee,Sherred,66.5299478.66.6127258,2014-02-24,703-33-7440
Ulick,Childes,52.3982331.13.2448535,2016-07-06,453-32-1941
Nickie,Thorndycraft,-10.1573402.123.6010244,2019-05-24,486-17-5843
Peter,Peacock,20.55832.106.56882,2008-02-20,379-08-4161
Conrad,Bosence,-3.3939043.120.3608455,2015-07-06,174-85-8992
Suzi,MacTrustie,26.86889.109.09528,2020-07-27,854-98-7540
Marilee,Sperry,47.5113895.1.820875,2012-03-14,570-80-1076
Lisette,Hazlehurst,-7.2763.108.3561,2012-10-08,769-16-5158
Athena,Gallie,40.4999888.22.8766281,2005-01-11,628-68-2581
Bink,Spurway,11.4297007.122.5987302,2006-09-27,290-96-7043
Stu,Howkins,-10.1573402.123.6010244,2015-03-10,523-75-3526
Darb,Zotto,15.9898714.119.8798268,2011-05-20,590-32-7531
Gerald,Ingold,56.907241.24.0317249,2005-06-19,843-55-4371
Mela,Hoovart,-7.3175297.-63.9586111,2018-04-26,843-55-4371
Adamo,Bineham,-3.3186067.114.5943784,2012-02-17,764-12-4773
Massimo,Matthews,37.7466201.23.9055737,2004-11-11,295-53-7731
Feliza,Baggiani,41.01.-85.06,2021-12-02,212-01-2751
Devlin,Gimert,56.0518037.92.9241062,2015-12-10,673-86-6024
Gerald,Phillput,59.9416014.10.8972927,2018-04-22,523-75-3526
Kass,Tranter,28.322781.-81.3912772,2018-03-29,355-70-1376
Gavrielle,Hagwood,40.4999888.22.8766281,2010-06-22,361-93-0568
Hendrick,Rantoul,4.625907.-75.761865,2021-03-21,824-98-6862
Nicky,Birkenhead,43.4539508.42.0911606,2019-04-22,875-56-1945
Dov,Leving,26.86889.109.09528,2008-09-03,649-94-2558
Nicolina,Brownsmith,31.267134.120.7062535,2014-10-12,753-51-4926
Melany,Blyden,4.8413815.-72.9899505,2013-06-02,874-34-9009
Bertrando,Villiers,14.9269532.-89.7161012,2004-07-08,667-27-4987
Phebe,Winckles,41.1588991.-8.0638522,2011-06-27,842-07-7147
Marsha,Giller,13.2944036.123.483279,2010-12-30,145-73-2004
Mata,Scrancher,43.4539508.42.0911606,2012-12-16,513-49-7957
Lonnie,Marritt,52.3982331.13.2448535,2004-04-23,219-74-1701
Tommi,McMurty,15.690893.120.409906,2018-03-25,107-01-5204
Pietro,Twinning,-7.2763.108.3561,2013-07-09,523-75-3526
Brenda,Pearton,-7.2599544.112.7554346,2008-03-03,729-81-9612
Trevar,McJury,25.410654.107.88645,2011-04-15,212-01-2751
Hardy,Stockbridge,36.284107.100.620031,2006-01-16,262-82-2743
