Nombre,Apellido,Coordenadas,Fecha_nacimiento,NSS_elfo
Adaline,Kimmins,56.907241.24.0317249,2015-03-09,226-21-3101
Adolphus,Willbond,40.1598524.116.8212507,2019-05-17,210-65-1610
Alexi,Bru,8.9172672.17.5505152,2006-02-03,875-56-1945
Alphard,Melland,47.0184615.-68.1430761,2016-10-10,697-26-0480
Aluin,Kermannes,50.772008.22.956207,2018-10-24,785-28-2150
Alysia,Cooney,4.625907.-75.761865,2004-11-09,318-26-6203
Ambros,Routham,-7.2763.108.3561,2007-10-13,672-49-6646
Amos,Shillan,47.5113895.1.820875,2016-02-15,185-88-0710
Analise,Rape,40.401045.117.998902,2007-06-22,203-20-6236
Anette,Dumingo,-3.3939043.120.3608455,2009-04-21,498-37-5352
Angy,Kopmann,-7.811056.108.438797,2004-04-22,450-83-5758
Antonin,Klesl,15.9898714.119.8798268,2004-07-12,411-66-1135
Archie,Britian,15.690893.120.409906,2020-07-23,684-95-4985
Arlen,Janssens,23.7221111.-15.9347384,2017-11-29,349-46-1567
Aryn,Athow,53.0210495.27.554013,2018-11-26,258-16-0592
Athena,Gallie,40.4999888.22.8766281,2005-01-11,628-68-2581
Augustina,Currell,15.9898714.119.8798268,2008-06-01,416-03-7287
Avrom,Millson,14.9269532.-89.7161012,2005-01-01,565-69-1632
Barbabas,Croad,34.137139.120.227624,2012-12-16,120-38-2269
Baryram,Milthorpe,-17.3079902.-40.1862129,2021-10-20,298-89-0037
Bathsheba,Boddymead,47.0184615.-68.1430761,2010-12-18,824-08-9038
Bee,Carden,-7.3175297.-63.9586111,2007-07-23,732-43-4335
Ben,Bradbeer,51.5775677.16.4684556,2009-01-31,793-45-3787
Berke,Trotton,28.322781.-81.3912772,2004-10-02,870-58-7182
Bernardine,Kiddell,52.416925.13.6492904,2013-07-20,486-17-5843
Bertie,Volcker,-7.5749752.110.6317907,2010-10-03,235-84-5892
Bertrando,Villiers,14.9269532.-89.7161012,2004-07-08,667-27-4987
Beulah,Sorbey,-32.9413658.-60.652833,2013-02-21,880-50-7691
Bink,Spurway,11.4297007.122.5987302,2006-09-27,290-96-7043
Birgit,Smooth,5.98111.121.21472,2012-12-30,610-92-0847
Blondelle,Swires,36.284107.100.620031,2019-07-02,185-24-8487
Bo,Bestman,4.625907.-75.761865,2018-12-04,440-93-8657
Branden,Hoys,45.1181926.21.2944883,2021-03-13,442-99-1771
Brianna,Pudden,-7.3175297.-63.9586111,2012-12-17,618-26-0671
Britt,Lording,9.9356473.-84.0792946,2013-08-22,642-72-0887
Brittaney,Baldassi,-7.2599544.112.7554346,2007-04-26,888-43-5870
