Nombre,Apellido,Coordenadas,Nombre_juguete
Adaline,Kimmins,56.907241.24.0317249,Scratch and Sniff Stickers
Adaline,Kimmins,56.907241.24.0317249,Hungry Hungry Hippos
Adolphus,Willbond,40.1598524.116.8212507,Furby
Alexi,Bru,8.9172672.17.5505152,Pixel Chix
Alexi,Bru,8.9172672.17.5505152,Shrinky Dinks (1973)
Alphard,Melland,47.0184615.-68.1430761,20Q
Alphard,Melland,47.0184615.-68.1430761,Geomag
Aluin,Kermannes,50.772008.22.956207,Boggle
Alysia,Cooney,4.625907.-75.761865,Sky Dancers
Ambros,Routham,-7.2763.108.3561,Silly Bandz
Ambros,Routham,-7.2763.108.3561,Heelys
Amos,Shillan,47.5113895.1.820875,Leapfrog Pad
Anette,Dumingo,-3.3939043.120.3608455,Polly Pocket
Anette,Dumingo,-3.3939043.120.3608455,Floam
Anette,Dumingo,-3.3939043.120.3608455,Space Hopper
Antonin,Klesl,15.9898714.119.8798268,Pound Puppies
Antonin,Klesl,15.9898714.119.8798268,Dance Mat
Antonin,Klesl,15.9898714.119.8798268,Shrinky Dinks (1973)
Archie,Britian,15.690893.120.409906,Geomag
Archie,Britian,15.690893.120.409906,Mr. Potato Head
Archie,Britian,15.690893.120.409906,Pay Day
Archie,Britian,15.690893.120.409906,Tinker Toys
Aryn,Athow,53.0210495.27.554013,Care Bears
Aryn,Athow,53.0210495.27.554013,Pay Day
Aryn,Athow,53.0210495.27.554013,Stick-On Earings
Aryn,Athow,53.0210495.27.554013,Boggle
Athena,Gallie,40.4999888.22.8766281,Shrinky Dinks (1973)
Athena,Gallie,40.4999888.22.8766281,Hula Hoop
Athena,Gallie,40.4999888.22.8766281,Lava Lamp
Athena,Gallie,40.4999888.22.8766281,Sky Dancers
Avrom,Millson,14.9269532.-89.7161012,Sky Dancers
Avrom,Millson,14.9269532.-89.7161012,Chalk
Avrom,Millson,14.9269532.-89.7161012,Rainbow Loom
Avrom,Millson,14.9269532.-89.7161012,Sit N Spin
Baryram,Milthorpe,-17.3079902.-40.1862129,20Q
Bee,Carden,-7.3175297.-63.9586111,Trolls
Bee,Carden,-7.3175297.-63.9586111,Play Tea Set
Bee,Carden,-7.3175297.-63.9586111,Chalk
Ben,Bradbeer,51.5775677.16.4684556,Happy Meal Toys
Bernardine,Kiddell,52.416925.13.6492904,Fisher Price Rock a Stack
Bernardine,Kiddell,52.416925.13.6492904,Fisher Price Doctor Kit
Bernardine,Kiddell,52.416925.13.6492904,Stickle Bricks
Bertie,Volcker,-7.5749752.110.6317907,Betty Spaghetti
Bertrando,Villiers,14.9269532.-89.7161012,Fisher Price Farm
Beulah,Sorbey,-32.9413658.-60.652833,Barrel of Monkeys
Beulah,Sorbey,-32.9413658.-60.652833,Tonka Trucks
Beulah,Sorbey,-32.9413658.-60.652833,Chia Pets
Birgit,Smooth,5.98111.121.21472,Aqua Dots
Birgit,Smooth,5.98111.121.21472,Fisher Price Doctor Kit
Blondelle,Swires,36.284107.100.620031,20Q
Blondelle,Swires,36.284107.100.620031,Mall Madness
Bo,Bestman,4.625907.-75.761865,Neopets
Branden,Hoys,45.1181926.21.2944883,Squinkies
Branden,Hoys,45.1181926.21.2944883,20Q
Branden,Hoys,45.1181926.21.2944883,Build-A-Bear Workshop
Brianna,Pudden,-7.3175297.-63.9586111,McDonald's McDino Changeables
Britt,Lording,9.9356473.-84.0792946,Slinky
Britt,Lording,9.9356473.-84.0792946,Transformers
Britt,Lording,9.9356473.-84.0792946,Parachute Game
Britt,Lording,9.9356473.-84.0792946,Barrel of Monkeys
Cam,Elion,-3.3939043.120.3608455,Fisher Price Rock a Stack
Cammie,Shankster,-8.0914709.112.718192,Cat's Cradle
Car,Torre,13.2944036.123.483279,Hula Hoop
Cassandry,Rubra,48.87561.2.302597,Baby Alive
Cassius,Willstrop,36.284107.100.620031,Silly Putty
Cassius,Willstrop,36.284107.100.620031,Tamagotchi
Cassius,Willstrop,36.284107.100.620031,Operation
Cassius,Willstrop,36.284107.100.620031,Gym Scooters
Chaunce,Wilks,48.87561.2.302597,Sprirograph
Christan,Giffkins,53.7431909.18.6894607,Sorry
Clo,Statham,37.7466201.23.9055737,Fisher Price Rock a Stack
Clo,Statham,37.7466201.23.9055737,Play Dough
Concordia,Sanbroke,29.763892.121.513271,Baby All Gone
Concordia,Sanbroke,29.763892.121.513271,Viewmaster
Concordia,Sanbroke,29.763892.121.513271,Baby Alive
Constancia,Johnys,-8.0914709.112.718192,Fidget Spinner
Constancia,Johnys,-8.0914709.112.718192,Silly String
Constancia,Johnys,-8.0914709.112.718192,Perfection
Constantia,Kaindl,-3.3939043.120.3608455,Leapfrog Pad
Constantia,Kaindl,-3.3939043.120.3608455,Stickle Bricks
Constantia,Kaindl,-3.3939043.120.3608455,Game of Life
Constantia,Kaindl,-3.3939043.120.3608455,Simon
Darb,Zotto,15.9898714.119.8798268,American Girl Doll
Darb,Zotto,15.9898714.119.8798268,Tickle Me Elmo
Dayna,Knappitt,29.689847.121.28259,Marbles
Dayna,Knappitt,29.689847.121.28259,Mad Libs
Dayna,Knappitt,29.689847.121.28259,Aqua Dots
Denny,Peckitt,13.4956.123.289,McDonald's McDino Changeables
Denny,Peckitt,13.4956.123.289,Pogosticks
Denny,Peckitt,13.4956.123.289,Tonka Trucks
Denny,Peckitt,13.4956.123.289,Chia Pets
Devlin,Gimert,56.0518037.92.9241062,Wii
Devlin,Gimert,56.0518037.92.9241062,Pokemon Cards
Devlin,Gimert,56.0518037.92.9241062,Barbie
Devon,Sworn,47.3362701.-1.5349069,Etch a Sketch
Dionne,Red,44.2136985.3.9996505,Micro Scooter
Dionne,Red,44.2136985.3.9996505,Connect Four
Dionne,Red,44.2136985.3.9996505,Chalk
Dominic,Speachley,9.9356473.-84.0792946,Slap Bracelets
Dominic,Speachley,9.9356473.-84.0792946,Lite Brite
Donn,Fedorski,13.4956.123.289,Connect Four
Donn,Fedorski,13.4956.123.289,Sky Dancers
Dov,Leving,26.86889.109.09528,Cabbage Patch Kids
Dov,Leving,26.86889.109.09528,Big Wheel
Dov,Leving,26.86889.109.09528,Bop It
Dov,Leving,26.86889.109.09528,Micro Scooter
Ede,Marriage,-17.3079902.-40.1862129,My Little Pony
Ede,Marriage,-17.3079902.-40.1862129,Squinkies
Eduardo,Premble,-17.3079902.-40.1862129,Shrinky Dinks (1973)
Elli,Tabner,-17.3013059.31.3198491,Connect Four
Elli,Tabner,-17.3013059.31.3198491,Happy Meal Toys
Ema,Gilchrist,34.137139.120.227624, Glo Worm (1982)
Ema,Gilchrist,34.137139.120.227624,Furby
Ema,Gilchrist,34.137139.120.227624,Build-A-Bear Workshop
Ema,Gilchrist,34.137139.120.227624,Don't Wake Daddy
Emilio,Kroll,-17.3079902.-40.1862129,Pillow Pets
Emilio,Kroll,-17.3079902.-40.1862129,Bumble Ball
Emilio,Kroll,-17.3079902.-40.1862129,Barrel of Monkeys
Emilio,Kroll,-17.3079902.-40.1862129,Fisher Price Doctor Kit
Emmaline,McCartan,53.0210495.27.554013,Beanie Babies
Emmaline,McCartan,53.0210495.27.554013,Pick-Up Sticks
Emmaline,McCartan,53.0210495.27.554013,Tamagotchi
Emmaline,McCartan,53.0210495.27.554013,Tech Decks
Fayette,Jonathon,-7.2599544.112.7554346,Parachute Game
Federica,Padillo,-17.3079902.-40.1862129,Furby
Ferne,Habgood,9.9356473.-84.0792946,Game of Life
Ferne,Habgood,9.9356473.-84.0792946,Mad Libs
Fidelity,Grzegorecki,8.9172672.17.5505152,Fisher Price Farm
Flem,Sedgmond,-8.154229.111.7778618,Tamagotchi
Foster,Iacopetti,36.284107.100.620031,Tamagotchi
Foster,Iacopetti,36.284107.100.620031,Sit N Spin
Foster,Iacopetti,36.284107.100.620031,Tech Decks
Francoise,Tuttle,31.267134.120.7062535,Scratch and Sniff Stickers
Franklin,Garbar,47.5113895.1.820875,Baby Alive
Franklin,Garbar,47.5113895.1.820875,DS Lite
Franklin,Garbar,47.5113895.1.820875,Geomag
Franklin,Garbar,47.5113895.1.820875,Cat's Cradle
Frederic,Gladdis,34.137139.120.227624,Polly Pocket
Friederike,Boumphrey,-3.3939043.120.3608455,Raggedy Ann
